id,CycloneName,Year,PortList,Condition,ConditionEffectiveTime,VesselOps,OceanVesselOps,FacilityOps
20,HELENE,2024,"Jacksonville, Fernandina, Canaveral",YANKEE,9/25/2024 4:00,Mariners are reminded there are no safe havens at these facilities; ports are safest when the inventory of vessels is at a minimum and all vessels should be prepared to depart and stay off the water.,Mariners are reminded there are no safe havens at these facilities; ports are safest when the inventory of vessels is at a minimum and all vessels should be prepared to depart and stay off the water.,"Port Condition YANKEE is in effect; ports should begin storm preparations, secure facilities and waterfront areas, and monitor Coast Guard Homeport for further directions."
21,HELENE,2024,KeyWest,ZULU,9/25/2024 1:00,All vessel movements are prohibited; no vessels may enter or transit the port without permission of the Captain of the Port. Mariners are advised that the port offers no safe haven and the vessel inventory should be at a minimum.,All vessel movements are prohibited; no vessels may enter or transit the port without permission of the Captain of the Port. Mariners are advised that the port offers no safe haven and the vessel inventory should be at a minimum.,All waterfront operations are suspended except final safety preparations authorized by the Captain of the Port; facility storm preparations should now be complete.
22,HELENE,2024,"Tampa, Manatee, StPetersburg",YANKEE,9/25/2024 0:00,Vessels greater than 300 gross tons must depart the sector; vessels already safely moored or hauled out should disable EPIRBs to prevent false alerts; all barges and pleasure craft should plan to leave early before bridge closures.,Vessels greater than 300 gross tons must depart the sector; vessels already safely moored or hauled out should disable EPIRBs to prevent false alerts; all barges and pleasure craft should plan to leave early before bridge closures.,Facilities are reminded there are no safe havens; ports are safest when vessel inventory is at a minimum and should ensure vessels are reduced to the lowest number possible while monitoring Coast Guard Homeport for further updates.
23,HELENE,2024,"KeyWest, Marathon, KeyLargo, Islamorada",YANKEE,9/24/2024 8:00,"Vessels over 300 GT must depart; all vessels, barges and pleasure craft should plan to leave early, disable EPIRBs if safely moored or hauled out, and recognize no safe havens exist in port.","Vessels over 300 GT must depart; all vessels, barges and pleasure craft should plan to leave early, disable EPIRBs if safely moored or hauled out, and recognize no safe havens exist in port.","Ports and waterfront facilities should reduce the inventory of vessels alongside, prepare for 35–43 mph winds within 24 h, and implement safety measures as no safe havens are available."
24,NINE,2024,"KeyWest, Marathon, KeyLargo",X-RAY,9/23/2024 12:00,Vessels wishing to remain in port must obtain Captain of the Port approval and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should seek an alternate port.,Vessels wishing to remain in port must obtain Captain of the Port approval and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should seek an alternate port.,Ports and facilities remain open to all commercial traffic and all transfer operations may continue.
25,NINE,2024,"Tampa, Manatee, StPetersburg",X-RAY,9/23/2024 7:00,Vessels that want to stay in port must contact the Captain of the Port for approval and submit a written safe-mooring plan.,Vessels that want to stay in port must contact the Captain of the Port for approval and submit a written safe-mooring plan.,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Port Condition X-RAY is in effect.
358,HONE,2024,['HAWAII'],ZULU,8/25/2024 1:53,,,
359,HONE,2024,"['OAHU', 'MAUI', 'HAWAII']",X-RAY,8/24/2024 19:46,,,
360,HONE,2024,['HAWAII'],WHISKEY,8/23/2024 1:23,,,
28,ERNESTO,2024,"SanJuan, Ponce, Mayaguez, Guayanilla, Yabucoa, Fajardo, Humacao, Arecibo, CharlotteAmalie, Christiansted, Frederiksted, CruzBay",ZULU,8/13/2024 10:00,No vessels may enter or transit within the ports without Captain-of-the-Port permission; all vessel movements are prohibited.,No vessels may enter or transit within the ports without Captain-of-the-Port permission; all vessel movements are prohibited.,"All waterfront operations are suspended; only final safety preparations authorized by the Captain of the Port may continue, and facility storm preparations should already be complete."
29,ERNESTO,2024,"['VIRGIN', 'PUERTO']",YANKEE,8/13/2024 17:10,,,
33,DEBBY,2024,"Tampa, StPetersburg, Manatee, Clearwater",ZULU,8/3/2024 12:00,No vessels may enter or transit the port without permission of the Captain of the Port; all vessel movements are prohibited and mariners are advised to keep the inventory of vessels in port to a minimum.,No vessels may enter or transit the port without permission of the Captain of the Port; all vessel movements are prohibited and mariners are advised to keep the inventory of vessels in port to a minimum.,Facility storm preparations should now be complete; all waterfront operations are shut down and ports and facilities must remain secured until Condition Zulu is lifted.
34,FOUR,2024,"Tampa, Manatee, StPetersburg",YANKEE,8/3/2024 0:00,"All ocean-going vessels, barges and pleasure craft should make plans to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens in the facilities and ports are safest when the inventory of vessels is at a minimum. Vessels unable to offload and depart within 8 hours of threatening winds should seek an alternate port.","All ocean-going vessels, barges and pleasure craft should make plans to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens in the facilities and ports are safest when the inventory of vessels is at a minimum. Vessels unable to offload and depart within 8 hours of threatening winds should seek an alternate port.",Minimize the number of vessels in port; ensure no safe-haven expectations are given; monitor Coast Guard Homeport site for further directives.
376,BERYL,2024,"Houston, Galveston, Freeport, TexasCity",ZULU,7/7/2024 21:00,All vessel transits within the safety zone are suspended unless specifically approved by the Captain of the Port or VTS; vessels still in port must be fully secured at their berths with AIS energized; any final repositioning must be coordinated with VTS and movements to safe refuge require prior approval.,All vessel transits within the safety zone are suspended unless specifically approved by the Captain of the Port or VTS; vessels still in port must be fully secured at their berths with AIS energized; any final repositioning must be coordinated with VTS and movements to safe refuge require prior approval.,"Ports and waterfront facilities must finalize storm preparations, cease all cargo and bunkering operations, suspend normal waterfront activities except COTP-approved safety work, maintain communication with the COTP/VTS, and promptly report any hazardous or unusual conditions."
377,BERYL,2024,"Houston, Galveston",YANKEE,7/7/2024 4:00,"Mariners are reminded there are no safe havens; under Condition Zulu no vessels may enter or transit the port and all vessel movements are prohibited; under Condition Yankee all vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures.","Mariners are reminded there are no safe havens; under Condition Zulu no vessels may enter or transit the port and all vessel movements are prohibited; under Condition Yankee all vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures.","Under Condition Zulu all waterfront operations are suspended except final safety preparations approved by the Captain of the Port, and facility preparations should be complete; ports are safest when the inventory of vessels is at a minimum."
36,FINN,2024,"Charleston, Georgetown",ZULU,1/9/2024 6:00,No vessels may enter or transit within the ports without the Captain of the Portʼs permission; all vessel movements are prohibited and mariners are reminded the facilities offer no safe havens.,No vessels may enter or transit within the ports without the Captain of the Portʼs permission; all vessel movements are prohibited and mariners are reminded the facilities offer no safe havens.,All waterfront operations are suspended; only final safety preparations approved by the COTP may continue and facility storm preparations should already be complete.
430,LEE,2023,"Portland, Searsport, Eastport, Portsmouth",X-RAY,9/14/2023 12:00,"All self-propelled vessels and barges over 500 GT (with tugs) must, no later than 12:00 PM on 15 Sep 2023, either report their intention to depart the Captain of the Port (COTP) Northern New England Zone or, if remaining, submit a Remaining-In-Port Checklist; all vessels entering or departing must keep their Notice of Arrival information updated; mariners should expect possible drawbridge restrictions and safety zones.","All self-propelled vessels and barges over 500 GT (with tugs) must, no later than 12:00 PM on 15 Sep 2023, either report their intention to depart the Captain of the Port (COTP) Northern New England Zone or, if remaining, submit a Remaining-In-Port Checklist; all vessels entering or departing must keep their Notice of Arrival information updated; mariners should expect possible drawbridge restrictions and safety zones.","Facilities are strongly encouraged to submit an MTS Recovery Facility Status Form, monitor weather forecasts, review heavy-weather plans, adjust transfer operations as necessary, and be prepared for possible safety zones or limited-access areas established by the COTP."
431,LEE,2023,"Narragansett, MountHope, BuzzardsBay, CapeCodBay, NewBedford",X-RAY,9/15/2023 0:00,"All self-propelled vessels and barges over 500 GT must immediately inform the Captain of the Port whether they will remain in port or depart. Pleasure craft and small craft, including paddle craft, are advised to seek safe harbor, secure their vessels, and avoid operating in expected strong winds and storm surge. Drawbridge openings may stop once high winds or evacuations begin.","All self-propelled vessels and barges over 500 GT must immediately inform the Captain of the Port whether they will remain in port or depart. Pleasure craft and small craft, including paddle craft, are advised to seek safe harbor, secure their vessels, and avoid operating in expected strong winds and storm surge. Drawbridge openings may stop once high winds or evacuations begin.","Ports remain open but must begin preparatory measures. Port managers, harbormasters, and marina managers must advise the Coast Guard when facilities approach capacity for sheltering vessels. Facilities should be ready for potential restrictions on transfer operations, rescinded marine-event permits, and directed vessel movements. Drawbridge and hurricane barrier operations may be suspended during high winds, and waterfront facilities should remove or secure loose equipment and hazardous materials."
432,LEE,2023,[],X-RAY,9/15/2023 12:44,,,
433,LEE,2023,"Providence, Narragansett, MountHope, Buzzards, CapeCod",WHISKEY,9/13/2023 5:00,"All self-propelled vessels and barges over 500 GT must immediately notify the Captain of the Port of their intention to remain or depart; pleasure craft should seek safe harbor; all small craft owners should avoid operating in adverse conditions, secure their craft well away from waterways, double up mooring lines and remove hazardous materials.","All self-propelled vessels and barges over 500 GT must immediately notify the Captain of the Port of their intention to remain or depart; pleasure craft should seek safe harbor; all small craft owners should avoid operating in adverse conditions, secure their craft well away from waterways, double up mooring lines and remove hazardous materials.","Ports remain open to commerce but facility operators may be directed to terminate lightering or cargo transfer operations, rescind permits for marine events, and control vessel arrivals/departures; port managers, harbormasters, and marina managers must advise the Coast Guard when their facilities are nearing capacity for sheltered vessels; drawbridges and hurricane barriers may cease operations once high winds or evacuations begin."
39,LEE,2023,"SanJuan, Ponce, Mayaguez, Fajardo, Guayama, Arecibo, Guayanilla, Yabucoa, Vieques, Culebra, CharlotteAmalie, Christiansted, Frederiksted",X-RAY,9/8/2023 5:00,Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to safely offload and depart within 24 h of threatening winds should seek an alternate port.,Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to safely offload and depart within 24 h of threatening winds should seek an alternate port.,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Port Condition X-Ray is in effect.
40,LEE,2023,"Arecibo, Ceiba, Culebra, Fajardo, Guanica, Guayama, LasMareas, Guayanilla, Mayaguez, Ponce, Salinas, Aguirre, SanJuan, StJohn, StThomas, StCroix, Tallaboa, Vieques, Yabucoa",WHISKEY,9/6/2023 10:00,All vessels that wish to remain in port must obtain Captain-of-the-Port approval and submit a written safe-mooring plan prior to Port Condition X-Ray.,All vessels that wish to remain in port must obtain Captain-of-the-Port approval and submit a written safe-mooring plan prior to Port Condition X-Ray.,Ports and facilities remain OPEN to all commercial traffic and cargo/transfer operations may continue while Port Condition WHISKEY is in effect.
41,LEE,2023,"['PUERTO', 'VIRGINS']",WHISKEY,9/6/2023 17:45,,,
387,IDALIA,2023,['MOREHEAD'],ZULU,8/30/2023 23:02,,,
388,IDALIA,2023,['WILMINGTON'],ZULU,8/30/2023 20:14,,,
44,IDALIA,2023,"Charleston, Georgetown, PortRoyal",ZULU,8/30/2023 4:00,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited.,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited.,All waterfront operations are suspended except final preparations authorized by the Captain of the Port; facility storm preparations should now be complete.
45,IDALIA,2023,"Savannah, Brunswick",ZULU,8/29/2023 13:00,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited.,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited.,All waterfront operations are suspended except final safety preparations authorized by the Captain of the Port; facility preparations should be completed.
46,IDALIA,2023,"Jacksonville, Fernandina, Canaveral",ZULU,8/29/2023 13:00,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited and mariners are advised that there are no safe havens in these facilities.,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited and mariners are advised that there are no safe havens in these facilities.,All waterfront operations are suspended except for final safety preparations authorized by the Captain of the Port; facility storm preparations should now be completed.
47,IDALIA,2023,"Charleston, Georgetown",YANKEE,8/29/2023 12:00,Mariners are advised that no safe havens exist in the port; ports are safest when the inventory of vessels is at a minimum. All vessels should plan to depart early or seek alternate harbors if they cannot clear the port at least 8 hours before the onset of tropical-storm-force winds.,Mariners are advised that no safe havens exist in the port; ports are safest when the inventory of vessels is at a minimum. All vessels should plan to depart early or seek alternate harbors if they cannot clear the port at least 8 hours before the onset of tropical-storm-force winds.,"Port facilities should continue storm preparations, secure equipment and cargo, and reduce on-site vessel inventory; monitor Coast Guard Homeport for additional directives."
48,IDALIA,2023,"Jacksonville, Fernandina, Canaveral",YANKEE,8/29/2023 5:00,"Mariners are advised that ports offer no safe havens; all vessels, including barges and pleasure craft, should plan to depart the port early to keep vessel inventory to a minimum and avoid bridge closures.","Mariners are advised that ports offer no safe havens; all vessels, including barges and pleasure craft, should plan to depart the port early to keep vessel inventory to a minimum and avoid bridge closures.","Ports and facilities should reduce the number of vessels in port to a minimum, provide no refuge for vessels, and continue monitoring Coast Guard directives and Homeport notices for further restrictions."
49,IDALIA,2023,"Savannah, Brunswick",YANKEE,8/29/2023 3:00,"Mariners are reminded there are no safe havens in port; ports are safest when the inventory of vessels is at a minimum, and all vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures.","Mariners are reminded there are no safe havens in port; ports are safest when the inventory of vessels is at a minimum, and all vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures.","Port Condition Yankee is in effect; facilities should anticipate sustained winds within 24 hours, reduce vessel inventory, secure operations, stay off the water, secure belongings, and be prepared for evacuation and coastal flooding."
50,IDALIA,2023,"Tampa, Manatee, StPetersburg",ZULU,8/29/2023 0:00,No vessels may enter or transit within the ports without the permission of the Captain of the Port; all vessel movements are prohibited.,No vessels may enter or transit within the ports without the permission of the Captain of the Port; all vessel movements are prohibited.,All waterfront operations are suspended; facility preparations should be completed.
51,IDALIA,2023,"Charleston, Georgetown",X-RAY,8/28/2023 12:00,"Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart South Carolina, Georgia, or Florida ports at least 24 hours before threatening winds should divert to an alternate port.","Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart South Carolina, Georgia, or Florida ports at least 24 hours before threatening winds should divert to an alternate port.",Ports and facilities remain open to all commercial traffic and all cargo-transfer operations may continue while Port Condition X-RAY is in effect.
52,IDALIA,2023,"KeyWest, Marathon",YANKEE,8/28/2023 10:00,"All vessels, including barges and pleasure craft, should make plans to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens and must secure vessels against storm surge.","All vessels, including barges and pleasure craft, should make plans to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens and must secure vessels against storm surge.",Ports and facilities should reduce the number of vessels in port to a minimum and prepare for sustained 35–43 mph winds expected within 24 hours.
53,IDALIA,2023,"Savannah, Brunswick",X-RAY,8/28/2023 7:00,Vessels wishing to remain in port must obtain Captain of the Port permission and submit a written safe-mooring plan.,Vessels wishing to remain in port must obtain Captain of the Port permission and submit a written safe-mooring plan.,Ports and facilities are open to all commercial traffic and may continue all transfer operations while Condition X-Ray is in effect.
54,IDALIA,2023,KeyWest,X-RAY,8/28/2023 4:00,"Vessels wishing to remain must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for SC, GA or FL that cannot depart within 24 h of hazardous winds should seek an alternate port.","Vessels wishing to remain must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for SC, GA or FL that cannot depart within 24 h of hazardous winds should seek an alternate port.",Ports and facilities remain open to all commercial traffic and transfer operations may continue while Condition X-Ray is in effect.
55,IDALIA,2023,"Jacksonville, Fernandina, Canaveral",X-RAY,8/28/2023 4:00,"Vessels wishing to remain in port must obtain Captain-of-the-Port approval and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia or Florida that cannot offload and depart at least 24 hours before hazardous winds should seek an alternate port.","Vessels wishing to remain in port must obtain Captain-of-the-Port approval and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia or Florida that cannot offload and depart at least 24 hours before hazardous winds should seek an alternate port.",Ports and facilities are open to all commercial traffic and cargo transfer operations may continue while Port Condition X-RAY is in effect.
56,IDALIA,2023,"Tampa, Manatee, StPetersburg",YANKEE,8/28/2023 3:00,"All ocean-going vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens and ports are safest when vessel inventory is at a minimum; vessels bound for SC, GA or FL that cannot safely offload and depart within 8 hours of threatening winds should seek an alternate port.","All ocean-going vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens and ports are safest when vessel inventory is at a minimum; vessels bound for SC, GA or FL that cannot safely offload and depart within 8 hours of threatening winds should seek an alternate port.","Ports and facilities should minimize vessel inventory, emphasize that no safe havens exist, and secure the area for sustained winds of 35–43 mph expected within 24 hours."
57,IDALIA,2023,Charleston,WHISKEY,8/28/2023 2:00,"Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia, or Florida that cannot offload and depart at least 24 hours before threatening winds should seek an alternate port.","Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia, or Florida that cannot offload and depart at least 24 hours before threatening winds should seek an alternate port.",Ports and facilities remain open to all commercial traffic and transfer operations may continue while Port Condition WHISKEY is in effect.
58,IDALIA,2023,"Savannah, Brunswick",WHISKEY,8/28/2023 2:00,"Vessels that wish to remain in port must obtain permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia or Florida that cannot safely off-load and depart within 24 hours of threatening winds should divert to an alternate port.","Vessels that wish to remain in port must obtain permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia or Florida that cannot safely off-load and depart within 24 hours of threatening winds should divert to an alternate port.",Ports and facilities are open to all commercial traffic and cargo/transfer operations may continue while Condition WHISKEY is in effect.
59,IDALIA,2023,"Canaveral, Jacksonville",WHISKEY,8/28/2023 2:00,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels that cannot offload and depart within 24 h of threatening winds should seek an alternate port.,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels that cannot offload and depart within 24 h of threatening winds should seek an alternate port.,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Condition WHISKEY is in effect.
60,IDALIA,2023,"Tampa, Manatee, StPetersburg",WHISKEY,8/27/2023 5:00,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan.,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan.,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Condition WHISKEY is in effect.
61,FRANKLIN,2023,,WHISKEY,8/22/2023 9:00,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan.,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan.,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Port Condition WHISKEY is in effect.
62,FRANKLIN,2023,"['PUERTO', 'VIRGINS']",WHISKEY,8/22/2023 21:54,,,
361,HAWAII,2023,[],WHISKEY,7/20/2023 0:17,,,
362,CALVIN,2023,"Hilo, Kawaihae",X-RAY,7/17/2023 17:00,,,
63,BRET,2023,,WHISKEY,6/21/2023 4:00,"Vessels wishing to remain in port must contact the Captain of the Port for permission and submit a written safe-mooring plan. Vessels bound for Puerto Rico, the U.S. Virgin Islands, or Florida that cannot safely offload and depart at least 24 hours before threatening winds arrive should divert to an alternate port.","Vessels wishing to remain in port must contact the Captain of the Port for permission and submit a written safe-mooring plan. Vessels bound for Puerto Rico, the U.S. Virgin Islands, or Florida that cannot safely offload and depart at least 24 hours before threatening winds arrive should divert to an alternate port.","Ports and facilities remain open to all commercial traffic, and all cargo transfer operations may continue while Port Condition WHISKEY is in effect."
64,BRET,2023,['SANJUAN'],WHISKEY,6/21/2023 16:49,,,
219,BRET,2023,"['VIRGIN', 'PUERTO']",WHISKEY,6/21/2023 16:00,,,
220,BRET,2023,"['VIRGIN', 'PUERTO']",WHISKEY,6/21/2023 16:00,,,
65,NICOLE,2022,"Hillsborough, Tampa, StPetersburg, Manatee, Sarasota, Charlotte, FortMyers",ZULU,11/9/2022 13:00,All vessel movements are prohibited; no vessel may enter or transit the port without permission of the Captain of the Port; mariners are reminded ports offer no safe haven and vessel inventory should be at a minimum.,All vessel movements are prohibited; no vessel may enter or transit the port without permission of the Captain of the Port; mariners are reminded ports offer no safe haven and vessel inventory should be at a minimum.,All waterfront operations are suspended except final safety preparations approved by the Captain of the Port; facility storm preparations should be complete.
