
ZCZC MIAPWSAT5 ALL                                                  
TTAA00 KNHC DDHHMM                                                  
                                                                    
HURRICANE DORIAN WIND SPEED PROBABILITIES NUMBER  48                
NWS NATIONAL HURRICANE CENTER MIAMI FL       AL052019               
0900 UTC THU SEP 05 2019                                            
                                                                    
AT 0900Z THE CENTER OF HURRICANE DORIAN WAS LOCATED NEAR LATITUDE   
31.7 NORTH...LONGITUDE 79.5 WEST WITH MAXIMUM SUSTAINED WINDS NEAR  
100 KTS...115 MPH...185 KM/H.                                       
                                                                    
Z INDICATES COORDINATED UNIVERSAL TIME (GREENWICH)                  
   ATLANTIC STANDARD TIME (AST)...SUBTRACT 4 HOURS FROM Z TIME      
   EASTERN  DAYLIGHT TIME (EDT)...SUBTRACT 4 HOURS FROM Z TIME      
   CENTRAL  DAYLIGHT TIME (CDT)...SUBTRACT 5 HOURS FROM Z TIME      
                                                                    
WIND SPEED PROBABILITY TABLE FOR SPECIFIC LOCATIONS                 
                                                                    
CHANCES OF SUSTAINED (1-MINUTE AVERAGE) WIND SPEEDS OF AT LEAST     
   ...34 KT (39 MPH... 63 KM/H)...                                  
   ...50 KT (58 MPH... 93 KM/H)...                                  
   ...64 KT (74 MPH...119 KM/H)...                                  
FOR LOCATIONS AND TIME PERIODS DURING THE NEXT 5 DAYS               
                                                                    
PROBABILITIES FOR LOCATIONS ARE GIVEN AS OP(CP) WHERE               
    OP  IS THE PROBABILITY OF THE EVENT BEGINNING DURING            
        AN INDIVIDUAL TIME PERIOD (ONSET PROBABILITY)               
   (CP) IS THE PROBABILITY OF THE EVENT OCCURRING BETWEEN           
        06Z THU AND THE FORECAST HOUR (CUMULATIVE PROBABILITY)      
                                                                    
PROBABILITIES ARE GIVEN IN PERCENT                                  
X INDICATES PROBABILITIES LESS THAN 1 PERCENT                       
PROBABILITIES FOR 34 KT AND 50 KT ARE SHOWN AT A GIVEN LOCATION WHEN
THE 5-DAY CUMULATIVE PROBABILITY IS AT LEAST 3 PERCENT.             
PROBABILITIES FOR 34...50...64 KT SHOWN WHEN THE 5-DAY              
64-KT CUMULATIVE PROBABILITY IS AT LEAST 1 PERCENT.                 
                                                                    
                                                                    
  - - - - WIND SPEED PROBABILITIES FOR SELECTED LOCATIONS - - - -   
                                                                    
               FROM    FROM    FROM    FROM    FROM    FROM    FROM 
  TIME       06Z THU 18Z THU 06Z FRI 18Z FRI 06Z SAT 06Z SUN 06Z MON
PERIODS         TO      TO      TO      TO      TO      TO      TO  
             18Z THU 06Z FRI 18Z FRI 06Z SAT 06Z SUN 06Z MON 06Z TUE
                                                                    
FORECAST HOUR    (12)   (24)    (36)    (48)    (72)    (96)   (120)
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
LOCATION       KT                                                   
                                                                    
CAPE RACE NFLD 34  X   X( X)   X( X)   X( X)   2( 2)   8(10)   X(10)
 
ILE ST PIERRE  34  X   X( X)   X( X)   X( X)  19(19)  16(35)   1(36)
ROCKY MT NC    34  2  27(29)   9(38)   X(38)   X(38)   X(38)   X(38)
ROCKY MT NC    50  X   1( 1)   2( 3)   X( 3)   X( 3)   X( 3)   X( 3)
 
CAPE HATTERAS  34  4  77(81)  19(99)   X(99)   X(99)   X(99)   X(99)
CAPE HATTERAS  50  X  16(16)  78(94)   X(94)   X(94)   X(94)   X(94)
CAPE HATTERAS  64  X   2( 2)  74(76)   X(76)   X(76)   X(76)   X(76)
 
FAYETTEVILLE   34  9  28(37)   2(39)   X(39)   X(39)   X(39)   X(39)
FAYETTEVILLE   50  1   3( 4)   X( 4)   X( 4)   X( 4)   X( 4)   X( 4)
 
CHARLOTTE NC   34  2   2( 4)   1( 5)   X( 5)   X( 5)   X( 5)   X( 5)
 
CHERRY PT NC   34  6  91(97)   2(99)   X(99)   X(99)   X(99)   X(99)
CHERRY PT NC   50  X  67(67)  17(84)   X(84)   X(84)   X(84)   X(84)
CHERRY PT NC   64  X  15(15)  13(28)   X(28)   X(28)   X(28)   X(28)
 
NEW RIVER NC   34 21  77(98)   2(99)   X(99)   X(99)   X(99)   X(99)
NEW RIVER NC   50  1  77(78)  18(96)   X(96)   X(96)   X(96)   X(96)
NEW RIVER NC   64  X  39(39)  43(82)   X(82)   X(82)   X(82)   X(82)
 
MOREHEAD CITY  34 31  68(99)   1(99)   X(99)   X(99)   X(99)   X(99)
MOREHEAD CITY  50  1  84(85)  10(95)   X(95)   X(95)   X(95)   X(95)
MOREHEAD CITY  64  X  50(50)  31(81)   X(81)   X(81)   X(81)   X(81)
 
SURF CITY NC   34 60  40(99)   X(99)   X(99)   X(99)   X(99)   X(99)
SURF CITY NC   50  1  89(90)   X(90)   X(90)   X(90)   X(90)   X(90)
SURF CITY NC   64  X  37(37)   3(40)   X(40)   X(40)   X(40)   X(40)
 
WILMINGTON NC  34 78  22(99)   X(99)   X(99)   X(99)   X(99)   X(99)
WILMINGTON NC  50  2  86(88)   X(88)   X(88)   X(88)   X(88)   X(88)
WILMINGTON NC  64  X  32(32)   2(34)   X(34)   X(34)   X(34)   X(34)
 
BALD HEAD ISL  34 98   2(99)   X(99)   X(99)   X(99)   X(99)   X(99)
BALD HEAD ISL  50 39  60(99)   X(99)   X(99)   X(99)   X(99)   X(99)
BALD HEAD ISL  64  3  88(91)   X(91)   X(91)   X(91)   X(91)   X(91)
 
FLORENCE SC    34 38   5(43)   1(44)   X(44)   X(44)   X(44)   X(44)
FLORENCE SC    50  2   1( 3)   X( 3)   X( 3)   X( 3)   X( 3)   X( 3)
 
COLUMBIA SC    34  3   2( 5)   1( 6)   X( 6)   X( 6)   X( 6)   X( 6)
 
LITTLE RIVER   34 98   2(99)   X(99)   X(99)   X(99)   X(99)   X(99)
LITTLE RIVER   50 35  51(86)   X(86)   X(86)   X(86)   X(86)   X(86)
LITTLE RIVER   64  2  31(33)   X(33)   X(33)   X(33)   X(33)   X(33)
 
MYRTLE BEACH   34 99   1(99)   X(99)   X(99)   X(99)   X(99)   X(99)
MYRTLE BEACH   50 76  18(94)   X(94)   X(94)   X(94)   X(94)   X(94)
MYRTLE BEACH   64 16  41(57)   X(57)   X(57)   X(57)   X(57)   X(57)
 
GEORGETOWN SC  34 99   X(99)   X(99)   X(99)   X(99)   X(99)   X(99)
GEORGETOWN SC  50 85   4(89)   X(89)   X(89)   X(89)   X(89)   X(89)
GEORGETOWN SC  64 32   7(39)   X(39)   X(39)   X(39)   X(39)   X(39)
 
CHARLESTON SC  34 99   X(99)   X(99)   X(99)   X(99)   X(99)   X(99)
CHARLESTON SC  50 57   X(57)   X(57)   X(57)   X(57)   X(57)   X(57)
CHARLESTON SC  64 10   X(10)   X(10)   X(10)   X(10)   X(10)   X(10)
 
BEAUFORT MCAS  34 52   1(53)   X(53)   X(53)   X(53)   X(53)   X(53)
BEAUFORT MCAS  50  3   X( 3)   X( 3)   X( 3)   X( 3)   X( 3)   X( 3)
 
AUGUSTA GA     34  2   2( 4)   X( 4)   X( 4)   X( 4)   X( 4)   X( 4)
 
SAVANNAH GA    34  4   2( 6)   X( 6)   X( 6)   X( 6)   X( 6)   X( 6)
 
KINGS BAY GA   34  2   1( 3)   X( 3)   X( 3)   X( 3)   X( 3)   X( 3)
 
WAYCROSS GA    34  2   1( 3)   X( 3)   X( 3)   X( 3)   X( 3)   X( 3)
 
MAYPORT NS FL  34  3   2( 5)   X( 5)   X( 5)   X( 5)   X( 5)   X( 5)
 
JACKSONVILLE   34  2   1( 3)   X( 3)   X( 3)   X( 3)   X( 3)   X( 3)
 
$$                                                                  
FORECASTER PASCH                                                    
NNNN                                                                
